Title,Price,Location,Date
Lcd lenovo ideapad s145,2 500 грн.,Стан: Вживане,06 травня 2024 р.
Lcd lenovo ideapad s145,2 500 грн.,Стан: Вживане,06 травня 2024 р.
"Acer Aspire E5-575 15,6 i3-7100U 8/ SSD 128Gb/ HDD 1т exelent",5 700 грн.,Стан: Вживане,07 травня 2024 р.
"Acer Aspire E5-575 15,6 i3-7100U 8/ SSD 128Gb/ HDD 1т exelent",5 700 грн.,Стан: Вживане,07 травня 2024 р.
"Ігровий ноутбук Dell Inspirion 7577, 15.6"" IPS",17 000 грн.,Стан: Вживане,07 травня 2024 р.
"Ігровий ноутбук Dell Inspirion 7577, 15.6"" IPS",17 000 грн.,Стан: Вживане,07 травня 2024 р.
Ноутбук Lenovo | 14 дюймів | Гарантія | Є розстрочка МОНО/ПРИВАТ,9 800 грн.,Стан: Вживане,Сьогодні о 07:28
Ноутбук Lenovo | 14 дюймів | Гарантія | Є розстрочка МОНО/ПРИВАТ,9 800 грн.,Стан: Вживане,Сьогодні о 07:28
MacBook Pro M1 8/512 Space Gray,36 000 грн.,Стан: Вживане,Сьогодні о 07:28
MacBook Pro M1 8/512 Space Gray,36 000 грн.,Стан: Вживане,Сьогодні о 07:28
Ноутбук Lenovo V330 Ryzen/SSD/DDR4,5 000 грн.,Стан: Вживане,Сьогодні о 07:27
Ноутбук Lenovo V330 Ryzen/SSD/DDR4,5 000 грн.,Стан: Вживане,Сьогодні о 07:27
HP Presario CQ57-445SR для навчання та праці,1 400 грн.,Стан: Вживане,Сьогодні о 07:27
HP Presario CQ57-445SR для навчання та праці,1 400 грн.,Стан: Вживане,Сьогодні о 07:27
DELL5480/2018г/Core i5-7300 4x/Видео2GB/16GB/SSD256/АКБ5ч/14.1 ipsFHD,6 799 грн.,Стан: Вживане,Сьогодні о 07:26
DELL5480/2018г/Core i5-7300 4x/Видео2GB/16GB/SSD256/АКБ5ч/14.1 ipsFHD,6 799 грн.,Стан: Вживане,Сьогодні о 07:26
Планшет Microsoft SurFace / Клавіатура у подарунок,6 500 грн.,Стан: Вживане,Сьогодні о 07:26
Планшет Microsoft SurFace / Клавіатура у подарунок,6 500 грн.,Стан: Вживане,Сьогодні о 07:26
Ноутбук Dell Latitude 7370 Intel Core m7-6Y54 / 8GB RAM / 128 SSD,3 999 грн.,Стан: Вживане,Сьогодні о 07:30
Ноутбук Dell Latitude 7370 Intel Core m7-6Y54 / 8GB RAM / 128 SSD,3 999 грн.,Стан: Вживане,Сьогодні о 07:30
